id,front,back,source_file,tag
"20260121-1730-01-6","How can you make a change to an immutable object (like a string) visible outside a function call?","By returning the modified copy and reassigning it outside.","week 1 - slides_l2_python.txt","week-1 python immutability"
"20260121-1730-01-7","What is the purpose of the typing module in Python?","It allows for static type hints for better code quality and error detection.","week 1 - slides_l2_python.txt","week-1 python typing"
"20260121-1730-01-8","What is the primary difference between the str type and the bytes type in Python 3?","str is Unicode; bytes is raw 1-byte elements (0-255).","week 1 - slides_l2_python.txt","week-1 python strings bytes"
"20260121-1730-01-9","How do you convert between str and bytes?","str.encode() -> bytes; bytes.decode() -> str.","week 1 - slides_l2_python.txt","week-1 python strings bytes"
"20260121-1730-01-10","Why is the with statement (context manager) used when opening files?","It ensures the file handle is automatically closed even if an error occurs.","week 1 - slides_l2_python.txt","week-1 python files"
"20260121-1730-01-11","When should you use the pickle module vs. readline()?","Use pickle for complex Python objects; readline() for plain text.","week 1 - slides_l2_python.txt","week-1 python files pickle"
"20260121-1730-01-12","[CAUTION] What is a major security risk associated with Python's pickle module?","Loading malicious pickle files can lead to arbitrary code execution.","week 1 - slides_l2_python.txt","week-1 python files pickle security"
"20260121-1730-01-13","Why is it critical to seed random number generators (RNGs) in machine learning experiments?","To ensure reproducibility of results.","week 1 - slides_l2_python.txt","week-1 python numpy rng"
"20260121-1730-01-14","In NumPy, what is the difference between np.matmul(a, b) and a * b?","np.matmul is matrix multiplication; a * b is element-wise multiplication.","week 1 - slides_l2_python.txt","week-1 python numpy"
"20260121-1730-01-15","What is np.einsum used for?","General linear algebra operations (summation and multiplication) across tensors.","week 1 - slides_l2_python.txt","week-1 python numpy einsum"
"20260121-1730-01-16","How does negative indexing work in NumPy slicing (e.g., a[2:-5])?","Negative indices count from the end of the array.","week 1 - slides_l2_python.txt","week-1 python numpy slicing"
"20260121-1730-01-17","How do you reverse a NumPy array a using slicing?","a[::-1]","week 1 - slides_l2_python.txt","week-1 python numpy slicing"
"20260121-1730-01-18","Which NumPy function is used to solve a linear system Ax = b?","np.linalg.solve(A, b)","week 1 - slides_l2_python.txt","week-1 python numpy linalg"
"20260121-1730-01-19","In Matplotlib, what is the difference between a Figure and an Axes?","Figure is the top-level container; Axes is an individual plot or sub-plot.","week 1 - slides_l2_python.txt","week-1 python matplotlib"
