"id","front","back","source_file","tags"
"20260206-1128-43-8","Was ist kollaboratives Filtern (nutzerbasiert)?","Schätze Bewertungen eines Nutzers aus den Bewertungen ähnlicher Nutzer (Nutzergruppen mit ähnlichen Präferenzen).","Kapitel 4 - Folien.txt","week-4 ws-25-26 collaborative-filtering user-based data-mining source::kapitel-4---folien"
"20260206-1128-43-9","Was ist kollaboratives Filtern für Objekte (item-based)?","Schätze Bewertungen aus den Bewertungen von ähnlichen Objekten, die der Nutzer bereits bewertet hat.","Kapitel 4 - Folien.txt","week-4 ws-25-26 collaborative-filtering item-based data-mining source::kapitel-4---folien"
"20260206-1128-43-10","Welche zwei Schätzvarianten werden beim item-basierten kollaborativen Filtern genannt?","Mittelwert der Bewertungen der k ähnlichsten Objekte.Gewichteter Mittelwert nach Ähnlichkeit der Objekte.","Kapitel 4 - Folien.txt","week-4 ws-25-26 collaborative-filtering item-based estimation data-mining source::kapitel-4---folien"
"20260206-1128-43-11","Wie wird die Ähnlichkeit zwischen zwei Objekten beim item-basierten kollaborativen Filtern typischerweise berechnet?","Über die Kosinus-Ähnlichkeit der Bewertungsvektoren der Objekte; bei zentrierten Bewertungen entspricht sie dem Pearson-Korrelationskoeffizienten.","Kapitel 4 - Folien.txt","week-4 ws-25-26 collaborative-filtering similarity data-mining source::kapitel-4---folien"
"20260206-1128-43-12","Nenne je einen Vorteil von kollaborativem Filtern und inhaltsbasierter Analyse.","Kollaboratives Filtern: Keine manuelle Merkmalsauswahl nötig; verschiedene Nutzerinteressen besser trennbar (item-based).Inhaltsbasiert: Benötigt keine Daten anderer Nutzer und kann neue/unpopuläre Objekte empfehlen; Empfehlungen sind erklärbar über Merkmale.","Kapitel 4 - Folien.txt","week-4 ws-25-26 recommendation-systems comparison data-mining source::kapitel-4---folien"
"20260206-1305-00-1","Was ist der Support einer Elementmenge \(I\)?","Der Support von \(I\) ist der Anteil der Warenkörbe, die alle Elemente aus \(I\) enthalten.","Kapitel 5 - Folien.txt","week-5 ws-25-26 support frequent-itemsets association-rules data-mining source::kapitel-5---folien"
"20260206-1305-00-2","Wann ist eine Elementmenge \(I\) eine häufige Elementmenge?","Wenn ihr Support mindestens den Schwellenwert s erreicht: sup(I) >= s.","Kapitel 5 - Folien.txt","week-5 ws-25-26 frequent-itemsets support association-rules data-mining source::kapitel-5---folien"
"20260206-1305-00-3","Wie ist die Konfidenz einer Assoziationsregel \(I \to j\) definiert?","conf(I -> j) = sup(I ∪ {j}) / sup(I).","Kapitel 5 - Folien.txt","week-5 ws-25-26 confidence association-rules data-mining source::kapitel-5---folien"
"20260206-1305-00-4","Welche beiden Schwellenwerte bestimmen, ob eine Regel \(I \to j\) ausgegeben wird?","Die Regel wird ausgegeben, wenn sup(I ∪ {j}) >= s und conf(I -> j) >= c.","Kapitel 5 - Folien.txt","week-5 ws-25-26 support confidence association-rules data-mining source::kapitel-5---folien"
"20260206-1305-00-5","Welche Monotonieeigenschaft nutzen häufige Elementmengen im A-Priori-Algorithmus?","Für J ⊆ I gilt sup(I) ≤ sup(J). Ist J nicht häufig, dann kann keine Obermenge von J häufig sein.","Kapitel 5 - Folien.txt","week-5 ws-25-26 apriori frequent-itemsets monotonicity data-mining source::kapitel-5---folien"
"20260206-1305-00-6","Wie findet A-Priori häufige Paare mit zwei Durchläufen?","1) Erster Durchlauf: Zähle alle einzelnen Elemente und bestimme die häufigen. 2) Zweiter Durchlauf: Zähle Paare nur, wenn beide Elemente häufig sind.","Kapitel 5 - Folien.txt","week-5 ws-25-26 apriori frequent-itemsets pairs data-mining source::kapitel-5---folien"
"20260206-1305-00-7","Wann ist eine k-Elementmenge ein Kandidat im A-Priori-Algorithmus?","Nur wenn alle (k-1)-elementigen Teilmengen häufig sind.","Kapitel 5 - Folien.txt","week-5 ws-25-26 apriori candidate-generation frequent-itemsets data-mining source::kapitel-5---folien"
"20260206-1305-00-8","Worin besteht die Besonderheit des PCY-Algorithmus im Vergleich zu A-Priori?","PCY nutzt im ersten Durchlauf zusätzlich Hash-Buckets für Paare und einen Bit-Vektor, um Kandidatenpaare für den zweiten Durchlauf stark zu reduzieren.","Kapitel 5 - Folien.txt","week-5 ws-25-26 pcy apriori comparison frequent-itemsets data-mining source::kapitel-5---folien"
"20260206-1305-00-9","Warum kann ein PCY-Bucket mit Anteil < s keine häufigen Paare enthalten?","Weil jedes Paar im Bucket höchstens so oft auftreten kann wie der Bucket selbst; ist der Bucket-Anteil < s, kann kein Paar darin Support >= s erreichen.","Kapitel 5 - Folien.txt","week-5 ws-25-26 pcy pruning support frequent-itemsets data-mining source::kapitel-5---folien"
"20260206-1305-00-10","Wann wird ein Paar {i, j} im 2. Durchlauf des PCY-Algorithmus gezählt?","Nur wenn beide Elemente häufig sind und das Paar in einen Bucket mit Bit-Wert 1 gehasht wird.","Kapitel 5 - Folien.txt","week-5 ws-25-26 pcy algorithm frequent-itemsets data-mining source::kapitel-5---folien"
"20260206-1305-00-11","Was sind die Hauptschritte im Algorithmus von Toivonen?","1) Ziehe eine Zufallsstichprobe und bestimme Kandidaten mit s’ = 0.9·s. 2) Baue die negative Grenze der Kandidaten. 3) Zähle Kandidaten und negative Grenze im Gesamtdatensatz. 4) Falls ein Element der negativen Grenze häufig ist, wiederhole mit neuer Stichprobe.","Kapitel 5 - Folien.txt","week-5 ws-25-26 toivonen sampling frequent-itemsets data-mining source::kapitel-5---folien"
"20260206-1305-00-12","Wie ist die negative Grenze (negative border) im Toivonen-Algorithmus definiert?","Eine Menge ist in der negativen Grenze, wenn sie kein Kandidat ist, aber alle direkten Untermengen Kandidaten (oder leer) sind.","Kapitel 5 - Folien.txt","week-5 ws-25-26 toivonen negative-border frequent-itemsets data-mining source::kapitel-5---folien"
"20260206-1305-00-13","Worin unterscheidet sich Toivonen grundlegend von A-Priori?","Toivonen nutzt eine Zufallsstichprobe mit kleinerem Schwellenwert und eine negative Grenze; er kann wiederholt werden, während A-Priori den gesamten Datensatz in festen Durchläufen verarbeitet.","Kapitel 5 - Folien.txt","week-5 ws-25-26 toivonen apriori comparison sampling data-mining source::kapitel-5---folien"
"20260207-2310-01-1","Was bedeutet One-Hot-Kodierung eines Textdokuments?","Darstellung als 0-1-Array, in dem jedes Element ein Merkmal repräsentiert; 1 bedeutet Merkmal vorhanden, 0 nicht vorhanden.","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-2","Welche Alternative zur reinen Präsenz kann in einer One-Hot-Kodierung verwendet werden?","Statt binär kann die Anzahl/Vorkommenshäufigkeit eines Merkmals gezählt werden.","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-3","Warum ist Bag-of-Words für Texte nur begrenzt geeignet?","Es berücksichtigt die Anordnung/Reihenfolge der Wörter nicht.","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-4","Was ist ein N-Gramm in der Textverarbeitung?","Eine Folge von N aufeinanderfolgenden Wörtern.","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-5","Was ist ein K-Shingle?","Ein Teil einer Zeichenkette der Länge k (Substring fester Länge).","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-6","Wie ist die Jaccarddistanz zwischen zwei Mengen \(X_1\) und \(X_2\) definiert?","d(X1,X2)=1 - |X1∩X2|/|X1∪X2|.","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-7","Wie berechnet man die Jaccarddistanz aus One-Hot-Kodierungen?","Anzahl der Positionen mit genau einer 1 geteilt durch Anzahl der Positionen mit mindestens einer 1.","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-8","Welches Ziel verfolgt Min-Hashing bei hochdimensionalen Dokumentrepräsentationen?","Es erzeugt kurze, ähnlichkeits-erhaltende Signaturen, damit Dokumente über Signaturen statt über volle Kodierungen verglichen werden.","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-9","Wie ist eine Min-Hash-Funktion \(h_\pi(C)\) für eine Kodierung \(C\) definiert?","Wende eine Permutation \(\pi\) auf die Positionen an; \(h_\pi(C)\) ist der Index der ersten Position mit 1 in der permutierten Kodierung.","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-10","Wie entsteht die Signatur einer Kodierung beim Min-Hashing?","Sie besteht aus den Min-Hash-Werten \(h_{\pi_1},\ldots,h_{\pi_n}\) mehrerer unabhängiger Permutationen.","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
"20260207-2310-01-11","Welche zentrale Eigenschaft verbindet Min-Hashing und die Jaccarddistanz?","Für zwei Mengen \(C,D\) gilt \(P(h_\pi(C) \neq h_\pi(D)) = d(C,D)\); äquivalent \(P(h_\pi(C)=h_\pi(D))=1-d(C,D)\).","Kapitel 6 - Folien [updated 11.12.txt","week-6 ws-25-26 locality-sensitive-hashing min-hash one-hot-encoding jaccard-distance data-mining source::kapitel-6---folien-[updated-11.12"
